race_id,constructor_id,constructor_position_before_race,constructor_points_before_race,constructor_wins_before_race,constructor_performance_score
2018_01,ferrari,0,0.0,0,0.0
2018_01,mercedes,0,0.0,0,0.0
2018_01,red_bull,0,0.0,0,0.0
2018_01,mclaren,0,0.0,0,0.0
2018_01,renault,0,0.0,0,0.0
2018_01,force_india,0,0.0,0,0.0
2018_01,sauber,0,0.0,0,0.0
2018_01,williams,0,0.0,0,0.0
2018_01,toro_rosso,0,0.0,0,0.0
2018_01,haas,0,0.0,0,0.0
2018_02,ferrari,1,40.0,1,50.0
2018_02,mercedes,2,22.0,0,22.0
2018_02,toro_rosso,9,0.0,0,0.0
2018_02,haas,7,0.0,0,0.0
2018_02,renault,5,7.0,0,7.0
2018_02,mclaren,4,12.0,0,12.0
2018_02,sauber,8,0.0,0,0.0
2018_02,force_india,6,0.0,0,0.0
2018_02,williams,10,0.0,0,0.0
2018_02,red_bull,3,20.0,0,20.0
2018_03,red_bull,4,20.0,0,20.0
2018_03,mercedes,2,55.0,0,55.0
2018_03,ferrari,1,65.0,2,85.0
2018_03,renault,5,15.0,0,15.0
2018_03,mclaren,3,22.0,0,22.0
2018_03,haas,7,10.0,0,10.0
2018_03,force_india,9,1.0,0,1.0
2018_03,williams,10,0.0,0,0.0
2018_03,sauber,8,2.0,0,2.0
2018_03,toro_rosso,6,12.0,0,12.0
2018_04,mercedes,1,85.0,0,85.0
2018_04,ferrari,2,84.0,2,104.0
2018_04,force_india,9,1.0,0,1.0
2018_04,renault,5,25.0,0,25.0
2018_04,sauber,8,2.0,0,2.0
2018_04,mclaren,4,28.0,0,28.0
2018_04,williams,10,0.0,0,0.0
2018_04,toro_rosso,6,12.0,0,12.0
2018_04,haas,7,11.0,0,11.0
2018_04,red_bull,3,55.0,1,65.0
2018_05,mercedes,2,110.0,1,120.0
2018_05,red_bull,3,55.0,1,65.0
2018_05,ferrari,1,114.0,2,134.0
2018_05,haas,8,11.0,0,11.0
2018_05,renault,5,35.0,0,35.0
2018_05,mclaren,4,36.0,0,36.0
2018_05,force_india,6,16.0,0,16.0
2018_05,sauber,9,10.0,0,10.0
2018_05,williams,10,4.0,0,4.0
2018_05,toro_rosso,7,13.0,0,13.0
2018_06,red_bull,3,80.0,1,90.0
2018_06,ferrari,2,126.0,2,146.0
2018_06,mercedes,1,153.0,2,173.0
2018_06,force_india,7,18.0,0,18.0
2018_06,toro_rosso,8,13.0,0,13.0
2018_06,renault,4,41.0,0,41.0
2018_06,sauber,9,11.0,0,11.0
2018_06,haas,6,19.0,0,19.0
2018_06,mclaren,5,40.0,0,40.0
2018_06,williams,10,4.0,0,4.0
2018_07,ferrari,2,156.0,2,176.0
2018_07,mercedes,1,178.0,2,198.0
2018_07,red_bull,3,107.0,2,127.0
2018_07,renault,4,46.0,0,46.0
2018_07,force_india,6,26.0,0,26.0
2018_07,sauber,9,11.0,0,11.0
2018_07,toro_rosso,8,19.0,0,19.0
2018_07,haas,7,19.0,0,19.0
2018_07,mclaren,5,40.0,0,40.0
2018_07,williams,10,4.0,0,4.0
2018_08,mercedes,1,206.0,2,226.0
2018_08,red_bull,3,134.0,2,154.0
2018_08,ferrari,2,189.0,3,219.0
2018_08,haas,7,19.0,0,19.0
2018_08,renault,4,56.0,0,56.0
2018_08,sauber,9,12.0,0,12.0
2018_08,mclaren,5,40.0,0,40.0
2018_08,toro_rosso,8,19.0,0,19.0
2018_08,williams,10,4.0,0,4.0
2018_08,force_india,6,28.0,0,28.0
2018_09,red_bull,3,164.0,2,184.0
2018_09,ferrari,2,214.0,3,244.0
2018_09,haas,7,27.0,0,27.0
2018_09,force_india,6,28.0,0,28.0
2018_09,mclaren,5,40.0,0,40.0
2018_09,sauber,9,13.0,0,13.0
2018_09,toro_rosso,8,19.0,0,19.0
2018_09,renault,4,62.0,0,62.0
2018_09,williams,10,4.0,0,4.0
2018_09,mercedes,1,237.0,3,267.0
2018_10,ferrari,1,247.0,3,277.0
2018_10,mercedes,2,237.0,3,267.0
2018_10,red_bull,3,189.0,3,219.0
2018_10,renault,4,62.0,0,62.0
2018_10,force_india,7,42.0,0,42.0
2018_10,mclaren,6,44.0,0,44.0
2018_10,haas,5,49.0,0,49.0
2018_10,williams,10,4.0,0,4.0
2018_10,toro_rosso,8,19.0,0,19.0
2018_10,sauber,9,16.0,0,16.0
2018_11,mercedes,2,267.0,3,297.0
2018_11,ferrari,1,287.0,4,327.0
2018_11,red_bull,3,199.0,3,229.0
2018_11,renault,4,70.0,0,70.0
2018_11,haas,5,51.0,0,51.0
2018_11,force_india,6,49.0,0,49.0
2018_11,sauber,9,16.0,0,16.0
2018_11,toro_rosso,8,19.0,0,19.0
2018_11,mclaren,7,48.0,0,48.0
2018_11,williams,10,4.0,0,4.0
2018_12,mercedes,1,310.0,4,350.0
2018_12,ferrari,2,302.0,4,342.0
2018_12,red_bull,3,211.0,3,241.0
2018_12,toro_rosso,8,20.0,0,20.0
2018_12,haas,6,59.0,0,59.0
2018_12,mclaren,7,48.0,0,48.0
2018_12,renault,4,80.0,0,80.0
2018_12,force_india,5,59.0,0,59.0
2018_12,sauber,9,18.0,0,18.0
2018_12,williams,10,4.0,0,4.0
2018_13,ferrari,2,335.0,4,375.0
2018_13,mercedes,1,345.0,5,395.0
2018_13,red_bull,3,223.0,3,253.0
2018_13,force_india,6,59.0,0,59.0
2018_13,haas,5,66.0,0,66.0
2018_13,toro_rosso,8,28.0,0,28.0
2018_13,sauber,9,18.0,0,18.0
2018_13,renault,4,82.0,0,82.0
2018_13,williams,10,4.0,0,4.0
2018_13,mclaren,7,52.0,0,52.0
2018_14,mercedes,1,375.0,5,425.0
2018_14,ferrari,2,360.0,5,410.0
2018_14,red_bull,3,238.0,3,268.0
2018_14,force_india,5,77.0,0,77.0
2018_14,renault,4,82.0,0,82.0
2018_14,williams,10,4.0,0,4.0
2018_14,sauber,9,19.0,0,19.0
2018_14,mclaren,7,52.0,0,52.0
2018_14,toro_rosso,8,30.0,0,30.0
2018_14,haas,6,76.0,0,76.0
2018_15,mercedes,1,415.0,6,475.0
2018_15,red_bull,3,248.0,3,278.0
2018_15,ferrari,2,390.0,5,440.0
2018_15,mclaren,7,52.0,0,52.0
2018_15,renault,5,86.0,0,86.0
2018_15,sauber,9,19.0,0,19.0
2018_15,toro_rosso,8,30.0,0,30.0
2018_15,williams,10,7.0,0,7.0
2018_15,haas,6,76.0,0,76.0
2018_15,force_india,4,91.0,0,91.0
2018_16,mercedes,1,452.0,7,522.0
2018_16,ferrari,2,415.0,5,465.0
2018_16,red_bull,3,274.0,3,304.0
2018_16,sauber,9,21.0,0,21.0
2018_16,haas,6,76.0,0,76.0
2018_16,force_india,4,91.0,0,91.0
2018_16,renault,5,91.0,0,91.0
2018_16,mclaren,7,58.0,0,58.0
2018_16,williams,10,7.0,0,7.0
2018_16,toro_rosso,8,30.0,0,30.0
2018_17,mercedes,1,495.0,8,575.0
2018_17,red_bull,3,292.0,3,322.0
2018_17,ferrari,2,442.0,5,492.0
2018_17,force_india,4,94.0,0,94.0
2018_17,haas,6,80.0,0,80.0
2018_17,renault,5,91.0,0,91.0
2018_17,toro_rosso,8,30.0,0,30.0
2018_17,sauber,9,27.0,0,27.0
2018_17,mclaren,7,58.0,0,58.0
