driver_id,nationality,date_of_birth,first_season_in_dataset,last_season_in_dataset,number_of_seasons_in_dataset,age_at_2026,rookie_in_dataset
aitken,British,1995-09-23,2020,2020,1,31,1
albon,Thai,1996-03-23,2019,2026,7,30,0
alonso,Spanish,1981-07-29,2018,2026,7,45,0
antonelli,Italian,2006-08-25,2025,2026,2,20,0
arvid_lindblad,British,2007-08-08,2026,2026,1,19,1
bearman,British,2005-05-08,2024,2026,3,21,0
bortoleto,Brazilian,2004-10-14,2025,2026,2,22,0
bottas,Finnish,1989-08-28,2018,2026,8,37,0
brendon_hartley,New Zealander,1989-11-10,2018,2018,1,37,1
colapinto,Argentine,2003-05-27,2024,2026,3,23,0
de_vries,Dutch,1995-02-06,2022,2023,2,31,0
doohan,Australian,2003-01-20,2024,2025,2,23,0
ericsson,Swedish,1990-09-02,2018,2018,1,36,1
gasly,French,1996-02-07,2018,2026,9,30,0
giovinazzi,Italian,1993-12-14,2019,2021,3,33,0
grosjean,French,1986-04-17,2018,2020,3,40,0
hadjar,French,2004-09-28,2025,2026,2,22,0
hamilton,British,1985-01-07,2018,2026,9,41,0
hulkenberg,German,1987-08-19,2018,2026,8,39,0
kevin_magnussen,Danish,1992-10-05,2018,2024,6,34,0
kubica,Polish,1984-12-07,2019,2021,2,42,0
kvyat,Russian,1994-04-26,2019,2020,2,32,0
latifi,Canadian,1995-06-29,2020,2022,3,31,0
lawson,New Zealander,2002-02-11,2023,2026,4,24,0
leclerc,Monegasque,1997-10-16,2018,2026,9,29,0
max_verstappen,Dutch,1997-09-30,2018,2026,9,29,0
mazepin,Russian,1999-03-02,2021,2021,1,27,1
mick_schumacher,German,1999-03-22,2021,2022,2,27,0
norris,British,1999-11-13,2019,2026,8,27,0
ocon,French,1996-09-17,2018,2026,8,30,0
perez,Mexican,1990-01-26,2018,2026,8,36,0
piastri,Australian,2001-04-06,2023,2026,4,25,0
pietro_fittipaldi,Brazilian,1996-06-25,2020,2020,1,30,1
raikkonen,Finnish,1979-10-17,2018,2021,4,47,0
ricciardo,Australian,1989-07-01,2018,2024,7,37,0
russell,British,1998-02-15,2019,2026,8,28,0
sainz,Spanish,1994-09-01,2018,2026,9,32,0
sargeant,American,2000-12-31,2023,2024,2,26,0
sirotkin,Russian,1995-08-27,2018,2018,1,31,1
stroll,Canadian,1998-10-29,2018,2026,9,28,0
tsunoda,Japanese,2000-05-11,2021,2025,5,26,0
vandoorne,Belgian,1992-03-26,2018,2018,1,34,1
vettel,German,1987-07-03,2018,2022,5,39,0
zhou,Chinese,1999-05-30,2022,2024,3,27,0
