race_id,driver_id,driver_position_before_race,driver_points_before_race,driver_wins_before_race,driver_performance_score
2018_01,vettel,0,0.0,0,0.0
2018_01,hamilton,0,0.0,0,0.0
2018_01,raikkonen,0,0.0,0,0.0
2018_01,ricciardo,0,0.0,0,0.0
2018_01,alonso,0,0.0,0,0.0
2018_01,max_verstappen,0,0.0,0,0.0
2018_01,hulkenberg,0,0.0,0,0.0
2018_01,bottas,0,0.0,0,0.0
2018_01,vandoorne,0,0.0,0,0.0
2018_01,sainz,0,0.0,0,0.0
2018_01,perez,0,0.0,0,0.0
2018_01,ocon,0,0.0,0,0.0
2018_01,leclerc,0,0.0,0,0.0
2018_01,stroll,0,0.0,0,0.0
2018_01,brendon_hartley,0,0.0,0,0.0
2018_01,grosjean,0,0.0,0,0.0
2018_01,kevin_magnussen,0,0.0,0,0.0
2018_01,gasly,0,0.0,0,0.0
2018_01,ericsson,0,0.0,0,0.0
2018_01,sirotkin,0,0.0,0,0.0
2018_02,vettel,1,25.0,1,35.0
2018_02,bottas,8,4.0,0,4.0
2018_02,hamilton,2,18.0,0,18.0
2018_02,gasly,13,0.0,0,0.0
2018_02,kevin_magnussen,15,0.0,0,0.0
2018_02,hulkenberg,7,6.0,0,6.0
2018_02,alonso,5,10.0,0,10.0
2018_02,vandoorne,9,2.0,0,2.0
2018_02,ericsson,12,0.0,0,0.0
2018_02,ocon,17,0.0,0,0.0
2018_02,sainz,10,1.0,0,1.0
2018_02,leclerc,16,0.0,0,0.0
2018_02,grosjean,14,0.0,0,0.0
2018_02,stroll,20,0.0,0,0.0
2018_02,sirotkin,19,0.0,0,0.0
2018_02,perez,18,0.0,0,0.0
2018_02,brendon_hartley,11,0.0,0,0.0
2018_02,raikkonen,3,15.0,0,15.0
2018_02,max_verstappen,6,8.0,0,8.0
2018_02,ricciardo,4,12.0,0,12.0
2018_03,ricciardo,8,12.0,0,12.0
2018_03,bottas,3,22.0,0,22.0
2018_03,raikkonen,5,15.0,0,15.0
2018_03,hamilton,2,33.0,0,33.0
2018_03,max_verstappen,10,8.0,0,8.0
2018_03,hulkenberg,6,14.0,0,14.0
2018_03,alonso,4,16.0,0,16.0
2018_03,vettel,1,50.0,2,70.0
2018_03,sainz,14,1.0,0,1.0
2018_03,kevin_magnussen,9,10.0,0,10.0
2018_03,ocon,13,1.0,0,1.0
2018_03,perez,18,0.0,0,0.0
2018_03,vandoorne,11,6.0,0,6.0
2018_03,stroll,20,0.0,0,0.0
2018_03,sirotkin,19,0.0,0,0.0
2018_03,ericsson,12,2.0,0,2.0
2018_03,grosjean,16,0.0,0,0.0
2018_03,gasly,7,12.0,0,12.0
2018_03,leclerc,17,0.0,0,0.0
2018_03,brendon_hartley,15,0.0,0,0.0
2018_04,hamilton,2,45.0,0,45.0
2018_04,raikkonen,5,30.0,0,30.0
2018_04,perez,18,0.0,0,0.0
2018_04,vettel,1,54.0,2,74.0
2018_04,sainz,12,3.0,0,3.0
2018_04,leclerc,17,0.0,0,0.0
2018_04,alonso,6,22.0,0,22.0
2018_04,stroll,20,0.0,0,0.0
2018_04,vandoorne,11,6.0,0,6.0
2018_04,brendon_hartley,15,0.0,0,0.0
2018_04,ericsson,13,2.0,0,2.0
2018_04,gasly,9,12.0,0,12.0
2018_04,kevin_magnussen,10,11.0,0,11.0
2018_04,bottas,3,40.0,0,40.0
2018_04,grosjean,16,0.0,0,0.0
