race_id,driver_id,races_count_previous_5,top10_finishes_previous_5,top10_rate_previous_5,points_previous_5,avg_points_previous_5,points_finishes_previous_5,avg_finish_position_previous_5,avg_grid_position_previous_5,best_finish_previous_5,worst_finish_previous_5,avg_laps_completed_previous_5,dnf_previous_5
2018_01,vettel,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2018_01,hamilton,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2018_01,raikkonen,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2018_01,ricciardo,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2018_01,alonso,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2018_01,max_verstappen,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2018_01,hulkenberg,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2018_01,bottas,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2018_01,vandoorne,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2018_01,sainz,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2018_01,perez,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2018_01,ocon,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2018_01,leclerc,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2018_01,stroll,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2018_01,brendon_hartley,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2018_01,grosjean,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2018_01,kevin_magnussen,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2018_01,gasly,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2018_01,ericsson,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2018_01,sirotkin,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2018_02,vettel,1,1,1.0,25.0,25.0,1,1.0,3.0,1,1,58.0,0
2018_02,bottas,1,1,1.0,4.0,4.0,1,8.0,15.0,8,8,58.0,0
2018_02,hamilton,1,1,1.0,18.0,18.0,1,2.0,1.0,2,2,58.0,0
2018_02,gasly,1,0,0.0,0.0,0.0,0,18.0,20.0,18,18,13.0,1
