race_id,driver_id,qualifying_position,q1_seconds,q2_seconds,q3_seconds,best_qualifying_seconds,reached_q2,reached_q3,qualifying_gap_to_pole_seconds
2018_01,hamilton,1,82.824,82.051,81.164,81.164,1,1,0.0
2018_01,raikkonen,2,83.096,82.507,81.828,81.828,1,1,0.6640000000000015
2018_01,vettel,3,83.348,81.944,81.838,81.838,1,1,0.6739999999999924
2018_01,max_verstappen,4,83.483,82.416,81.879,81.879,1,1,0.7150000000000034
2018_01,ricciardo,5,83.494,82.89699999999999,82.152,82.152,1,1,0.9879999999999995
2018_01,kevin_magnussen,6,83.90899999999999,83.3,83.187,83.187,1,1,2.022999999999996
2018_01,grosjean,7,83.67099999999999,83.468,83.339,83.339,1,1,2.174999999999997
2018_01,hulkenberg,8,83.782,83.544,83.532,83.532,1,1,2.367999999999995
2018_01,sainz,9,83.529,83.061,83.577,83.061,1,1,1.8970000000000056
2018_01,bottas,10,83.686,82.089,,82.089,1,0,0.9249999999999972
2018_01,alonso,11,83.59700000000001,83.69200000000001,,83.59700000000001,1,0,2.433000000000007
2018_01,vandoorne,12,84.07300000000001,83.85300000000001,,83.85300000000001,1,0,2.689000000000007
2018_01,perez,13,84.344,84.005,,84.005,1,0,2.840999999999994
2018_01,stroll,14,84.464,84.23,,84.23,1,0,3.0660000000000025
2018_01,ocon,15,84.503,84.786,,84.503,1,0,3.3389999999999986
2018_01,brendon_hartley,16,84.532,,,84.532,0,0,3.367999999999995
2018_01,ericsson,17,84.556,,,84.556,0,0,3.391999999999996
2018_01,leclerc,18,84.636,,,84.636,0,0,3.471999999999994
2018_01,sirotkin,19,84.922,,,84.922,0,0,3.7579999999999956
2018_01,gasly,20,85.295,,,85.295,0,0,4.131
2018_02,vettel,1,89.06,88.34100000000001,87.958,87.958,1,1,0.0
2018_02,raikkonen,2,88.951,88.515,88.101,88.101,1,1,0.14300000000000068
2018_02,bottas,3,89.275,88.794,88.124,88.124,1,1,0.16599999999999682
2018_02,hamilton,4,89.396,88.458,88.22,88.22,1,1,0.26200000000000045
2018_02,ricciardo,5,89.55199999999999,88.962,88.398,88.398,1,1,0.4399999999999977
2018_02,gasly,6,90.121,89.836,89.32900000000001,89.32900000000001,1,1,1.3710000000000093
2018_02,kevin_magnussen,7,89.594,89.623,89.358,89.358,1,1,1.4000000000000057
2018_02,hulkenberg,8,90.26,89.187,89.57,89.187,1,1,1.2289999999999992
2018_02,ocon,9,90.338,90.009,89.874,89.874,1,1,1.9159999999999968
2018_02,sainz,10,89.893,89.80199999999999,89.986,89.80199999999999,1,1,1.843999999999994
2018_02,brendon_hartley,11,90.412,90.105,,90.105,1,0,2.1470000000000056
2018_02,perez,12,90.218,90.156,,90.156,1,0,2.1980000000000075
2018_02,alonso,13,90.53,90.212,,90.212,1,0,2.254000000000005
2018_02,vandoorne,14,90.479,90.525,,90.479,1,0,2.521000000000001
2018_02,max_verstappen,15,89.374,,,89.374,0,0,1.4159999999999968
2018_02,grosjean,16,90.53,,,90.53,0,0,2.5720000000000027
2018_02,ericsson,17,91.063,,,91.063,0,0,3.105000000000004
2018_02,sirotkin,18,91.414,,,91.414,0,0,3.456000000000003
2018_02,leclerc,19,91.42,,,91.42,0,0,3.4620000000000033
2018_02,stroll,20,91.503,,,91.503,0,0,3.5450000000000017
2018_03,vettel,1,92.17099999999999,92.38499999999999,91.095,91.095,1,1,0.0
2018_03,raikkonen,2,92.47399999999999,92.286,91.182,91.182,1,1,0.0870000000000033
2018_03,bottas,3,92.92099999999999,92.063,91.625,91.625,1,1,0.5300000000000011
2018_03,hamilton,4,93.283,91.914,91.675,91.675,1,1,0.5799999999999983
2018_03,max_verstappen,5,92.932,92.809,91.79599999999999,91.79599999999999,1,1,0.7009999999999934
2018_03,ricciardo,6,93.87700000000001,92.688,91.94800000000001,91.94800000000001,1,1,0.8530000000000086
2018_03,hulkenberg,7,93.545,92.494,92.532,92.494,1,1,1.399000000000001
2018_03,perez,8,93.464,92.931,92.75800000000001,92.75800000000001,1,1,1.663000000000011
2018_03,sainz,9,93.315,92.97,92.819,92.819,1,1,1.7240000000000038
2018_03,grosjean,10,93.238,92.524,92.85499999999999,92.524,1,1,1.429000000000002
2018_03,kevin_magnussen,11,93.35900000000001,92.98599999999999,,92.98599999999999,1,0,1.8909999999999911
2018_03,ocon,12,93.58500000000001,93.057,,93.057,1,0,1.9620000000000033
2018_03,alonso,13,93.428,93.232,,93.232,1,0,2.1370000000000005
2018_03,vandoorne,14,93.824,93.505,,93.505,1,0,2.4099999999999966
2018_03,brendon_hartley,15,94.013,93.795,,93.795,1,0,2.700000000000003
2018_03,sirotkin,16,94.062,,,94.062,0,0,2.9669999999999987
2018_03,gasly,17,94.101,,,94.101,0,0,3.0060000000000002
2018_03,stroll,18,94.285,,,94.285,0,0,3.1899999999999977
2018_03,leclerc,19,94.45400000000001,,,94.45400000000001,0,0,3.359000000000009
2018_03,ericsson,20,94.914,,,94.914,0,0,3.8190000000000026
2018_04,vettel,1,102.762,103.015,101.49799999999999,101.49799999999999,1,1,0.0
