race_id,safety_car_count,virtual_safety_car_count,red_flag_count,yellow_flag_count,double_yellow_count,black_flag_count,track_limits_count,investigation_count,penalty_count,incident_count,race_control_messages_count,race_control_data_available,total_dnf_count,classified_driver_count,race_disruption_score
2018_01,0,0,0,0,0,0,0,0,0,0,0,0,5,15,5
2018_02,0,0,0,0,0,0,0,0,0,0,0,0,3,17,3
2018_03,0,0,0,0,0,0,0,0,0,1,0,0,1,19,2
2018_04,0,0,0,0,0,0,0,0,0,6,0,0,7,13,13
2018_05,0,0,0,0,0,0,0,0,0,3,0,0,6,14,9
2018_06,0,0,0,0,0,0,0,0,0,2,0,0,3,17,5
2018_07,0,0,0,0,0,0,0,0,0,2,0,0,3,17,5
2018_08,0,0,0,0,0,0,0,0,0,2,0,0,5,15,7
2018_09,0,0,0,0,0,0,0,0,0,1,0,0,6,14,7
2018_10,0,0,0,0,0,0,0,0,0,3,0,0,6,14,9
2018_11,0,0,0,0,0,0,0,0,0,1,0,0,5,15,6
2018_12,0,0,0,0,0,0,0,0,0,0,0,0,3,17,3
2018_13,0,0,0,0,0,0,0,0,0,3,0,0,5,15,8
2018_14,0,0,0,0,0,0,0,0,0,0,0,0,4,16,4
2018_15,0,0,0,0,0,0,0,0,0,1,0,0,1,19,2
2018_16,0,0,0,0,0,0,0,0,0,0,0,0,2,18,2
2018_17,0,0,0,0,0,0,0,0,0,1,0,0,3,17,4
2018_18,0,0,0,0,0,0,0,0,0,3,0,0,6,14,9
2018_19,0,0,0,0,0,0,0,0,0,0,0,0,4,16,4
2018_20,0,0,0,0,0,0,0,0,0,1,0,0,2,18,3
2018_21,0,0,0,0,0,0,0,0,0,1,0,0,5,15,6
2019_01,0,0,0,0,0,0,0,0,0,1,0,0,3,17,4
2019_02,0,0,0,0,0,0,0,0,0,1,0,0,4,16,5
2019_03,0,0,0,0,0,0,0,0,0,2,0,0,3,17,5
2019_04,0,0,0,0,0,0,0,0,0,2,0,0,4,16,6
2019_05,0,0,0,0,0,0,0,0,0,2,0,0,2,18,4
2019_06,0,0,0,0,0,0,0,0,0,1,0,0,1,19,2
2019_07,0,0,0,0,0,0,0,0,0,1,0,0,2,18,3
2019_08,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1
2019_09,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
