model,train_rows,test_rows,train_start_season,train_end_season,test_season,accuracy,precision,recall,f1,roc_auc,race_precision_at_10,exact_top10_set_rate
logistic_regression,910,478,2010,2011,2012,0.698744769874477,0.6261261261261262,0.695,0.6587677725118484,0.7768525179856115,0.645,0.0
random_forest,910,478,2010,2011,2012,0.702928870292887,0.6090225563909775,0.81,0.6952789699570815,0.8233273381294964,0.6799999999999999,0.0
extra_trees,910,478,2010,2011,2012,0.7301255230125523,0.6473029045643154,0.78,0.7074829931972789,0.8206294964028776,0.7,0.0
hist_gradient_boosting,910,478,2010,2011,2012,0.6820083682008368,0.6081081081081081,0.675,0.6398104265402843,0.7796223021582734,0.6199999999999999,0.0
neural_network_mlp,910,478,2010,2011,2012,0.7238493723849372,0.660377358490566,0.7,0.6796116504854369,0.8195323741007193,0.6799999999999999,0.0
logistic_regression,1388,418,2010,2012,2013,0.7464114832535885,0.6944444444444444,0.7894736842105263,0.7389162561576355,0.8181671283471837,0.7473684210526317,0.0
random_forest,1388,418,2010,2012,2013,0.8349282296650717,0.7894736842105263,0.868421052631579,0.8270676691729323,0.8953139427516159,0.7947368421052632,0.0
extra_trees,1388,418,2010,2012,2013,0.8325358851674641,0.7857142857142857,0.868421052631579,0.825,0.8987765466297322,0.8157894736842105,0.05263157894736842
hist_gradient_boosting,1388,418,2010,2012,2013,0.7918660287081339,0.7587939698492462,0.7947368421052632,0.7763496143958869,0.871398891966759,0.7421052631578946,0.0
neural_network_mlp,1388,418,2010,2012,2013,0.8133971291866029,0.788659793814433,0.8052631578947368,0.796875,0.8890350877192982,0.7894736842105264,0.0
logistic_regression,1806,407,2010,2013,2014,0.7862407862407862,0.7754010695187166,0.7631578947368421,0.7692307692307693,0.8551055056997332,0.7631578947368421,0.0
random_forest,1806,407,2010,2013,2014,0.8108108108108109,0.7810945273631841,0.8263157894736842,0.80306905370844,0.8853989813242786,0.7789473684210527,0.0
extra_trees,1806,407,2010,2013,2014,0.800982800982801,0.7632850241545893,0.8315789473684211,0.7959697732997482,0.8716953674508852,0.7789473684210527,0.0
hist_gradient_boosting,1806,407,2010,2013,2014,0.7592137592137592,0.7911392405063291,0.6578947368421053,0.7183908045977011,0.8627940819791413,0.7578947368421054,0.0
neural_network_mlp,1806,407,2010,2013,2014,0.8083538083538083,0.7978723404255319,0.7894736842105263,0.7936507936507936,0.8739024981809362,0.7789473684210527,0.0
logistic_regression,2213,378,2010,2014,2015,0.6878306878306878,0.6714285714285714,0.7421052631578947,0.705,0.7887458006718925,0.7,0.0
random_forest,2213,378,2010,2014,2015,0.7328042328042328,0.7305699481865285,0.7421052631578947,0.7362924281984334,0.8030235162374021,0.7263157894736842,0.05263157894736842
extra_trees,2213,378,2010,2014,2015,0.7116402116402116,0.69377990430622,0.7631578947368421,0.7268170426065163,0.7891657334826427,0.7263157894736842,0.0
hist_gradient_boosting,2213,378,2010,2014,2015,0.716931216931217,0.7195767195767195,0.7157894736842105,0.7176781002638523,0.7896416573348264,0.7210526315789473,0.0
neural_network_mlp,2213,378,2010,2014,2015,0.7275132275132276,0.7277486910994765,0.7315789473684211,0.7296587926509186,0.786478163493841,0.7315789473684211,0.0
logistic_regression,2591,462,2010,2015,2016,0.829004329004329,0.7990867579908676,0.8333333333333334,0.8158508158508159,0.8863000755857899,0.8,0.047619047619047616
random_forest,2591,462,2010,2015,2016,0.8246753246753247,0.7892376681614349,0.8380952380952381,0.812933025404157,0.891005291005291,0.8142857142857142,0.14285714285714285
extra_trees,2591,462,2010,2015,2016,0.8225108225108225,0.7935779816513762,0.8238095238095238,0.8084112149532711,0.8917800453514739,0.819047619047619,0.23809523809523808
hist_gradient_boosting,2591,462,2010,2015,2016,0.79004329004329,0.7677725118483413,0.7714285714285715,0.7695961995249406,0.871938775510204,0.7809523809523811,0.0
